Audiofile,start,end,class
S01_U04.CH4,0.05,1.91,foreground
S01_U04.CH4,1.91,5.14,foreground
S01_U04.CH4,5.14,20.6,foreground
S01_U04.CH4,20.6,21.37,foreground
S01_U04.CH4,21.37,22.72,foreground
S01_U04.CH4,22.72,23.29,foreground
S01_U04.CH4,23.29,24.13,foreground
S01_U04.CH4,24.13,25.08,foreground
S01_U04.CH4,25.08,26.5,foreground
S01_U04.CH4,26.5,29.3,foreground
S01_U04.CH4,29.3,31.44,foreground
S01_U04.CH4,31.44,32.38,foreground
S01_U04.CH4,32.38,40.68,foreground
S01_U04.CH4,40.68,41.95,foreground
S01_U04.CH4,41.95,44.51,foreground
S01_U04.CH4,44.51,55.26,foreground
S01_U04.CH4,55.26,56.24,foreground
S01_U04.CH4,56.24,56.45,background
S01_U04.CH4,56.45,58.57,foreground
S01_U04.CH4,58.57,59.68,foreground
S01_U04.CH4,59.68,60.05,background
S01_U04.CH4,60.05,73.19,foreground
S01_U04.CH4,73.19,75.72,foreground
S01_U04.CH4,75.72,76.84,foreground
S01_U04.CH4,76.84,78.05,foreground
S01_U04.CH4,78.05,79.69,foreground
S01_U04.CH4,79.69,83.88,foreground
S01_U04.CH4,83.88,85.17,background
S01_U04.CH4,85.17,85.43,background
S01_U04.CH4,85.43,86.45,foreground
S01_U04.CH4,86.45,88.66,foreground
S01_U04.CH4,88.66,89.18,foreground
S01_U04.CH4,89.18,89.95,foreground
S01_U04.CH4,89.95,90.66,foreground
S01_U04.CH4,90.66,95.19,foreground
S01_U04.CH4,95.19,95.95,background
S01_U04.CH4,95.95,96.98,background
S01_U04.CH4,96.98,97.48,foreground
S01_U04.CH4,97.48,98.09,background
S01_U04.CH4,98.09,99.05,background
S01_U04.CH4,99.05,99.68,foreground
S01_U04.CH4,99.68,100.87,foreground
S01_U04.CH4,100.87,101.7,foreground
S01_U04.CH4,101.7,102.29,foreground
S01_U04.CH4,102.29,102.9,foreground
S01_U04.CH4,102.9,104.5,foreground
S01_U04.CH4,104.5,104.95,foreground
S01_U04.CH4,104.95,107.0,foreground
S01_U04.CH4,107.0,108.31,foreground
S01_U04.CH4,108.31,109.74,foreground
S01_U04.CH4,109.74,111.23,foreground
S01_U04.CH4,111.23,112.96,foreground
S01_U04.CH4,112.96,113.87,foreground
S01_U04.CH4,113.87,115.67,foreground
S01_U04.CH4,115.67,118.19,foreground
S01_U04.CH4,118.19,118.56,foreground
S01_U04.CH4,118.56,119.99,foreground
S01_U04.CH4,119.99,120.25,foreground
S01_U04.CH4,120.25,124.34,foreground
S01_U04.CH4,124.34,125.08,foreground
S01_U04.CH4,125.08,125.55,background
S01_U04.CH4,125.55,126.05,foreground
S01_U04.CH4,126.05,126.59,foreground
S01_U04.CH4,126.59,127.87,foreground
S01_U04.CH4,127.87,130.68,foreground
S01_U04.CH4,130.68,131.03,background
S01_U04.CH4,131.03,136.57,foreground
S01_U04.CH4,136.57,140.99,foreground
S01_U04.CH4,140.99,143.44,foreground
S01_U04.CH4,143.44,147.73,foreground
S01_U04.CH4,147.73,148.82,foreground
S01_U04.CH4,148.82,150.78,foreground
S01_U04.CH4,150.78,151.58,foreground
S01_U04.CH4,151.58,152.04,foreground
S01_U04.CH4,152.04,152.41,background
S01_U04.CH4,152.41,152.89,foreground
S01_U04.CH4,152.89,153.51,foreground
S01_U04.CH4,153.51,153.99,foreground
S01_U04.CH4,153.99,154.2,background
S01_U04.CH4,154.2,154.72,foreground
S01_U04.CH4,154.72,155.17,background
S01_U04.CH4,155.17,155.6,background
S01_U04.CH4,155.6,155.8,foreground
S01_U04.CH4,155.8,156.87,background
S01_U04.CH4,156.87,157.14,background
S01_U04.CH4,157.14,157.74,background
S01_U04.CH4,157.74,158.18,background
S01_U04.CH4,158.18,158.48,background
S01_U04.CH4,158.48,158.93,foreground
S01_U04.CH4,158.93,159.29,foreground
S01_U04.CH4,159.29,160.92,foreground
S01_U04.CH4,160.92,161.7,foreground
S01_U04.CH4,161.7,162.19,foreground
S01_U04.CH4,162.19,163.62,foreground
S01_U04.CH4,163.62,164.58,foreground
S01_U04.CH4,164.58,165.11,background
S01_U04.CH4,165.11,165.66,foreground
S01_U04.CH4,165.66,167.61,foreground
S01_U04.CH4,167.61,168.54,foreground
S01_U04.CH4,168.54,170.45,foreground
S01_U04.CH4,170.45,171.13,foreground
S01_U04.CH4,171.13,171.38,background
S01_U04.CH4,171.38,172.04,background
S01_U04.CH4,172.04,172.41,foreground
S01_U04.CH4,172.41,173.72,foreground
S01_U04.CH4,173.72,176.45,foreground
S01_U04.CH4,176.45,177.66,foreground
S01_U04.CH4,177.66,177.97,foreground
S01_U04.CH4,177.97,179.25,foreground
S01_U04.CH4,179.25,179.87,foreground
S01_U04.CH4,179.87,180.3,foreground
S01_U04.CH4,180.3,181.48,background
S01_U04.CH4,181.48,182.71,foreground
S01_U04.CH4,182.71,183.15,foreground
S01_U04.CH4,183.15,183.65,foreground
S01_U04.CH4,183.65,183.87,background
S01_U04.CH4,183.87,184.47,foreground
S01_U04.CH4,184.47,185.09,foreground
S01_U04.CH4,185.09,185.83,foreground
S01_U04.CH4,185.83,187.0,foreground
S01_U04.CH4,187.0,187.28,foreground
S01_U04.CH4,187.28,187.87,foreground
S01_U04.CH4,187.87,188.41,foreground
S01_U04.CH4,188.41,189.35,foreground
S01_U04.CH4,189.35,189.71,foreground
S01_U04.CH4,189.71,189.93,background
S01_U04.CH4,189.93,191.16,foreground
S01_U04.CH4,191.16,192.82,foreground
S01_U04.CH4,192.82,193.73,foreground
S01_U04.CH4,193.73,194.26,foreground
S01_U04.CH4,194.26,194.64,foreground
S01_U04.CH4,194.64,195.19,foreground
S01_U04.CH4,195.19,196.26,foreground
S01_U04.CH4,196.26,196.52,foreground
S01_U04.CH4,196.52,196.9,background
S01_U04.CH4,196.9,197.72,foreground
S01_U04.CH4,197.72,199.4,foreground
S01_U04.CH4,199.4,199.61,background
S01_U04.CH4,199.61,200.57,foreground
S01_U04.CH4,200.57,202.32,foreground
S01_U04.CH4,202.32,202.99,foreground
S01_U04.CH4,202.99,203.64,foreground
S01_U04.CH4,203.64,204.65,foreground
S01_U04.CH4,204.65,205.36,foreground
S01_U04.CH4,205.36,205.77,foreground
S01_U04.CH4,205.77,207.1,foreground
S01_U04.CH4,207.1,207.64,foreground
S01_U04.CH4,207.64,208.83,foreground
S01_U04.CH4,208.83,209.43,foreground
S01_U04.CH4,209.43,210.34,foreground
S01_U04.CH4,210.34,211.58,foreground
S01_U04.CH4,211.58,212.11,foreground
S01_U04.CH4,212.11,213.65,foreground
S01_U04.CH4,213.65,220.93,foreground
S01_U04.CH4,220.93,245.61,foreground
S01_U04.CH4,245.61,260.39,foreground
S01_U04.CH4,260.39,264.66,foreground
S01_U04.CH4,264.66,293.04,foreground
S01_U04.CH4,293.04,293.49,foreground
S01_U04.CH4,293.49,300.26,foreground
S01_U04.CH4,300.26,307.4,foreground
S01_U04.CH4,307.4,313.81,foreground
S01_U04.CH4,313.81,322.17,foreground
S01_U04.CH4,322.17,332.39,foreground
S01_U04.CH4,332.39,334.56,foreground
S01_U04.CH4,334.56,343.79,foreground
S01_U04.CH4,343.79,353.46,foreground
S01_U04.CH4,353.46,361.5,foreground
S01_U04.CH4,361.5,378.5,foreground
S01_U04.CH4,378.5,381.73,foreground
S01_U04.CH4,381.73,382.44,foreground
S01_U04.CH4,382.44,383.38,foreground
S01_U04.CH4,383.38,383.89,background
S01_U04.CH4,383.89,387.07,foreground
S01_U04.CH4,387.07,387.36,background
S01_U04.CH4,387.36,388.23,foreground
S01_U04.CH4,388.23,388.51,foreground
S01_U04.CH4,388.51,389.08,foreground
S01_U04.CH4,389.08,389.63,background
S01_U04.CH4,389.63,390.23,foreground
S01_U04.CH4,390.23,390.52,background
S01_U04.CH4,390.52,394.6,foreground
S01_U04.CH4,394.6,399.41,foreground
S01_U04.CH4,399.41,403.27,foreground
S01_U04.CH4,403.27,408.52,foreground
S01_U04.CH4,408.52,409.66,foreground
S01_U04.CH4,409.66,418.5,foreground
S01_U04.CH4,418.5,419.1,foreground
S01_U04.CH4,419.1,419.95,foreground
S01_U04.CH4,419.95,431.14,foreground
S01_U04.CH4,431.14,440.6,foreground
